Matricula|ClavePlan|VersionPlan|ClaveAsignatura|ClaveProfesor|ClaveGrupo|Grupo
16016256|13009|5|18845|89760|1854|EE
16016258|13009|5|18843|89830|1854|EE
11216251|13009|5|18844|181968|1854|EE
13003466|13009|5|18844|181968|1854|EE
15216442|13009|5|19071|89816|1851|OPT-EE
12000711|13009|5|17042|89799|286|LM
15008060|13009|5|17042|89799|286|LM
15216442|13009|5|17042|89799|286|LM
15001934|13009|5|17042|89799|286|LM
15008056|13009|5|17042|89799|286|LM
13003466|13009|5|17042|89799|286|LM
18016304|13009|5|17042|89799|286|LM
18016301|13009|5|17042|89799|286|LM
11216251|13009|5|17042|89799|286|LM
16016256|13009|5|17042|89799|286|LM
16016362|13009|5|17042|89799|286|LM
14003088|13009|5|17042|89799|286|LM
15000896|13009|5|17042|89799|286|LM
18016292|13009|5|17042|89799|286|LM
18016291|13009|5|17042|89799|286|LM
14003582|13009|5|17042|89799|286|LM
15003299|13009|5|17042|89799|286|LM
14003617|13009|5|17042|89799|286|LM
16216251|13009|5|17042|89799|286|LM
14003426|13009|5|17042|89799|286|LM
18003636|13009|5|17036|109891|286|LM
18003162|13009|5|17036|109891|286|LM
18003788|13009|5|17036|109891|286|LM
21216351|13009|5|17036|109891|286|LM
21216364|13009|5|17036|109891|286|LM
21216365|13009|5|17036|109891|286|LM
15003244|13009|5|17036|109891|286|LM
21216359|13009|5|17036|109891|286|LM
21216353|13009|5|17036|109891|286|LM
21216368|13009|5|17036|109891|286|LM
21216369|13009|5|17036|109891|286|LM
21216371|13009|5|17036|109891|286|LM
17003223|13009|5|17036|109891|286|LM
21216367|13009|5|17036|109891|286|LM
21216374|13009|5|17036|109891|286|LM
21216358|13009|5|17036|109891|286|LM
18000649|13009|5|17036|109891|286|LM
18008311|13009|5|17036|109891|286|LM
12001853|13009|5|17036|109891|286|LM
21216372|13009|5|17036|109891|286|LM
18000654|13009|5|17036|109891|286|LM
21216354|13009|5|17036|109891|286|LM
16003961|13009|5|17036|109891|286|LM
21216356|13009|5|17036|109891|286|LM
18004288|13009|5|17036|109891|286|LM
18001268|13009|5|17036|109891|286|LM
21216362|13009|5|17036|109891|286|LM
21216361|13009|5|17036|109891|286|LM
19111394|13009|5|17036|109891|286|LM
21216366|13009|5|17036|109891|286|LM
21216363|13009|5|17036|109891|286|LM
21216357|13009|5|17036|109891|286|LM
21216373|13009|5|17036|109891|286|LM
17016271|13009|5|17036|109891|286|LM
21216355|13009|5|17036|109891|286|LM
21216370|13009|5|17036|109891|286|LM
17001410|13009|5|17036|109891|286|LM
18003928|13009|5|17036|109891|286|LM
21216375|13009|5|17036|109891|286|LM
17004184|13009|5|17036|109891|286|LM
17016271|13009|5|17040|89849|286|LM
15001787|13009|5|17040|89849|286|LM
14003824|13009|5|17040|89849|286|LM
15001046|13009|5|17040|89849|286|LM
16001250|13009|5|17040|89849|286|LM
15000767|13009|5|17040|89849|286|LM
16003703|13009|5|17040|89849|286|LM
16003711|13009|5|17040|89849|286|LM
16003558|13009|5|17040|89849|286|LM
19216377|13009|5|17040|89849|286|LM
19216379|13009|5|17040|89849|286|LM
15000853|13009|5|17040|89849|286|LM
19216393|13009|5|17040|89849|286|LM
16001509|13009|5|17040|89849|286|LM
14003087|13009|5|17040|89849|286|LM
18016300|13009|5|17040|89849|286|LM
20216279|13009|5|17038|97528|286|LM
15003198|13009|5|17038|97528|286|LM
20216268|13009|5|17038|97528|286|LM
20216281|13009|5|17038|97528|286|LM
16004239|13009|5|17038|97528|286|LM
17016267|13009|5|17038|97528|286|LM
20216271|13009|5|17038|97528|286|LM
19216385|13009|5|17038|97528|286|LM
19216386|13009|5|17038|97528|286|LM
17001373|13009|5|17038|97528|286|LM
14001073|13009|5|17038|97528|286|LM
13001002|13009|5|17038|97528|286|LM
15003856|13009|5|17038|97528|286|LM
17000742|13009|5|17038|97528|286|LM
17004103|13009|5|17038|97528|286|LM
17000684|13009|5|17038|97528|286|LM
17000627|13009|5|17038|97528|286|LM
19216405|13009|5|17038|97528|286|LM
20216259|13009|5|17038|97528|286|LM
20216411|13009|5|17038|97528|286|LM
18019558|13009|5|17038|97528|286|LM
20216255|13009|5|17038|97528|286|LM
16001906|13009|5|17038|97528|286|LM
19216389|13009|5|17038|97528|286|LM
16000601|13009|5|17038|97528|286|LM
20216272|13009|5|17038|97528|286|LM
15003551|13009|5|17038|97528|286|LM
20216258|13009|5|17038|97528|286|LM
20216280|13009|5|17038|97528|286|LM
20216257|13009|5|17038|97528|286|LM
20216256|13009|5|17038|97528|286|LM
20216266|13009|5|17038|97528|286|LM
20216261|13009|5|17038|97528|286|LM
19216391|13009|5|17038|97528|286|LM
20216275|13009|5|17038|97528|286|LM
20216267|13009|5|17038|97528|286|LM
19216375|13009|5|17038|97528|286|LM
11004346|13009|5|17038|97528|286|LM
13004442|13009|5|17046|89809|286|LM
19216377|13009|5|17046|89809|286|LM
15001787|13009|5|17046|89809|286|LM
15000676|13009|5|17046|89809|286|LM
14003087|13009|5|17046|89809|286|LM
15000767|13009|5|17046|89809|286|LM
20216411|13009|5|17046|89809|286|LM
15001046|13009|5|17046|89809|286|LM
19216393|13009|5|17046|89809|286|LM
19216379|13009|5|17046|89809|286|LM
16003558|13009|5|17046|89809|286|LM
16001250|13009|5|17046|89809|286|LM
15000853|13009|5|17046|89809|286|LM
16003703|13009|5|17046|89809|286|LM
14003824|13009|5|17046|89809|286|LM
16003711|13009|5|17046|89809|286|LM
16001509|13009|5|17046|89809|286|LM
18016300|13009|5|17046|89809|286|LM
17016271|13009|5|17046|89809|286|LM
20216272|13009|5|17044|89806|286|LM
20216256|13009|5|17044|89806|286|LM
17000627|13009|5|17044|89806|286|LM
18019558|13009|5|17044|89806|286|LM
13001002|13009|5|17044|89806|286|LM
17000742|13009|5|17044|89806|286|LM
16001906|13009|5|17044|89806|286|LM
20216255|13009|5|17044|89806|286|LM
17001373|13009|5|17044|89806|286|LM
20216261|13009|5|17044|89806|286|LM
14001073|13009|5|17044|89806|286|LM
15003198|13009|5|17044|89806|286|LM
19216405|13009|5|17044|89806|286|LM
20216266|13009|5|17044|89806|286|LM
20216281|13009|5|17044|89806|286|LM
20216267|13009|5|17044|89806|286|LM
20216268|13009|5|17044|89806|286|LM
16000601|13009|5|17044|89806|286|LM
20216257|13009|5|17044|89806|286|LM
20216279|13009|5|17044|89806|286|LM
20216280|13009|5|17044|89806|286|LM
20216258|13009|5|17044|89806|286|LM
19216385|13009|5|17044|89806|286|LM
20216271|13009|5|17044|89806|286|LM
19216388|13009|5|17044|89806|286|LM
17004103|13009|5|17044|89806|286|LM
17000684|13009|5|17044|89806|286|LM
20216259|13009|5|17044|89806|286|LM
19216391|13009|5|17044|89806|286|LM
15003856|13009|5|17044|89806|286|LM
19216386|13009|5|17044|89806|286|LM
15003551|13009|5|17044|89806|286|LM
19216393|13009|5|17057|89810|286|LM
15001046|13009|5|17057|89810|286|LM
15000767|13009|5|17057|89810|286|LM
17016271|13009|5|17057|89810|286|LM
16003558|13009|5|17057|89810|286|LM
19216377|13009|5|17057|89810|286|LM
16003703|13009|5|17057|89810|286|LM
18016300|13009|5|17057|89810|286|LM
16003711|13009|5|17057|89810|286|LM
16001509|13009|5|17057|89810|286|LM
14003087|13009|5|17057|89810|286|LM
19216379|13009|5|17057|89810|286|LM
16001250|13009|5|17057|89810|286|LM
15001787|13009|5|17057|89810|286|LM
14003582|13009|5|17048|89761|286|LM
16216251|13009|5|17048|89761|286|LM
14003088|13009|5|17048|89761|286|LM
15003299|13009|5|17048|89761|286|LM
18016292|13009|5|17048|89761|286|LM
13003466|13009|5|17048|89761|286|LM
15000896|13009|5|17048|89761|286|LM
15001934|13009|5|17048|89761|286|LM
15008056|13009|5|17048|89761|286|LM
18016291|13009|5|17048|89761|286|LM
18016304|13009|5|17048|89761|286|LM
11216251|13009|5|17048|89761|286|LM
16016362|13009|5|17048|89761|286|LM
14003617|13009|5|17048|89761|286|LM
18016301|13009|5|17048|89761|286|LM
16016256|13009|5|17048|89761|286|LM
12000711|13009|5|17048|89761|286|LM
15008060|13009|5|17048|89761|286|LM
14003426|13009|5|17048|89761|286|LM
16003558|13009|5|17060|89830|286|LM
16001250|13009|5|17060|89830|286|LM
15000676|13009|5|17060|89830|286|LM
15001046|13009|5|17060|89830|286|LM
18016300|13009|5|17060|89830|286|LM
15000853|13009|5|17060|89830|286|LM
14003087|13009|5|17060|89830|286|LM
19216379|13009|5|17060|89830|286|LM
16003703|13009|5|17060|89830|286|LM
19216393|13009|5|17060|89830|286|LM
19216377|13009|5|17060|89830|286|LM
15000767|13009|5|17060|89830|286|LM
16001509|13009|5|17060|89830|286|LM
15001787|13009|5|17060|89830|286|LM
14003824|13009|5|17060|89830|286|LM
16003711|13009|5|17060|89830|286|LM
18000649|13009|5|17050|89862|286|LM
18008311|13009|5|17050|89862|286|LM
21216374|13009|5|17050|89862|286|LM
21216370|13009|5|17050|89862|286|LM
18003162|13009|5|17050|89862|286|LM
21216368|13009|5|17050|89862|286|LM
21216371|13009|5|17050|89862|286|LM
21216366|13009|5|17050|89862|286|LM
21216354|13009|5|17050|89862|286|LM
21216357|13009|5|17050|89862|286|LM
