ClavePlan|VersionPlan|NombrePlan|SiglasPlan
7445|4|Licenciatura en Matemáticas|LM
13009|5|Licenciatura en Matemáticas|LM
7232|4|Licenciatura en Ciencias de la Computación|LCC
34705|5|Licenciatura en Ciencias de la Computación|LCC
7233|3|Licenciatura en Enseñanza de las Matemáticas|LEM
21135|4|Licenciatura en Enseñanza de las Matemáticas|LEM
7226|4|Licenciatura en Actuaría|LA
24297|5|Licenciatura en Actuaría|LA
7221|2|Licenciatura en Ingeniería de Software|LIS
36802|3|Licenciatura en Ingeniería de Software|LIS
7342|2|Licenciatura en Ingeniería en Computación|LIC
21134|3|Licenciatura en Ingeniería en Computación|LIC
