ClavePlan|VersionPlan|ClaveAsignatura|NombreAsignatura
13009|5|18845|ANALISIS MULTIVARIADO
13009|5|18843|DISEÑOS EXPERIMENTALES
13009|5|18844|MODELOS DE REGRESION
13009|5|19071|CONTROL DE CALIDAD
13009|5|17042|ALGEBRA ABSTRACTA II
13009|5|17036|ALGEBRA INTERMEDIA
13009|5|17040|ALGEBRA LINEAL II
13009|5|17038|ALGEBRA SUPERIOR II
13009|5|17046|CALCULO AVANZADO
13009|5|17044|CALCULO II
13009|5|17057|ECUACIONES DIFERENCIALES ORDINARIAS
13009|5|17048|TEORIA DE LA MEDIDA E INTEGRACION
13009|5|17060|INFERENCIA ESTADISTICA
13009|5|17050|GEOMETRIA EUCLIDIANA
13009|5|17051|GEOMETRIA ANALITICA I
13009|5|17053|GEOMETRIA MODERNA
13009|5|17055|VARIABLE COMPLEJA
13009|5|17049|PROGRAMACION
13009|5|17062|SERVICIO SOCIAL
13009|5|17061|TALLER DE PRACTICAS PROFESIONALES
13009|5|28392|LAS MATEMATICAS Y SU DESARROLLO A TRAVES DEL TIEMPO
13009|5|10204|GEOMETRIA HIPERBOLICA
21134|3|19985|ALGEBRA INTERMEDIA
21135|4|19985|ALGEBRA INTERMEDIA
24297|5|19985|ALGEBRA INTERMEDIA
34705|5|19985|ALGEBRA INTERMEDIA
36802|3|19985|ALGEBRA INTERMEDIA
21135|4|19987|ALGEBRA LINEAL
21135|4|20003|DISEÑOS DE APRENDIZAJE
21135|4|20001|PARADIGMAS EDUCATIVOS
21135|4|19991|CALCULO DIFERENCIAL
21135|4|19993|ECUACIONES DIFERENCIALES
21135|4|19996|DIDACTICA DEL ALGEBRA
21134|3|20006|INFORMATICA EDUCATIVA
21135|4|20006|INFORMATICA EDUCATIVA
21135|4|20005|INTRODUCCION A LA INVESTIGACION EN MATEMATICA EDUCATIVA
21135|4|19994|PROBABILIDAD
21134|3|19988|GEOMETRIA ANALITICA I
21135|4|19988|GEOMETRIA ANALITICA I
24297|5|19988|GEOMETRIA ANALITICA I
34705|5|19988|GEOMETRIA ANALITICA I
36802|3|19988|GEOMETRIA ANALITICA I
21135|4|19990|GEOMETRIA EUCLIDIANA
21134|3|19979|RESPONSABILIDAD SOCIAL UNIVERSITARIA
21135|4|19979|RESPONSABILIDAD SOCIAL UNIVERSITARIA
24297|5|19979|RESPONSABILIDAD SOCIAL UNIVERSITARIA
34705|5|19979|RESPONSABILIDAD SOCIAL UNIVERSITARIA
36802|3|19979|RESPONSABILIDAD SOCIAL UNIVERSITARIA
21135|4|19997|DIDACTICA DE LA GEOMETRIA
24297|5|19997|DIDACTICA DE LA GEOMETRIA
21135|4|19983|PRACTICAS PROFESIONALES
21135|4|19984|SERVICIO SOCIAL
21135|4|19986|ALGEBRA SUPERIOR
21135|4|19998|DIDACTICA DEL CALCULO
21135|4|20000|LABORATORIO DIDACTICO
21134|3|19982|LECTURA Y REDACCION TECNICA
21135|4|19982|LECTURA Y REDACCION TECNICA
24297|5|19982|LECTURA Y REDACCION TECNICA
36802|3|19982|LECTURA Y REDACCION TECNICA
21135|4|20004|TEORIAS EN MATEMATICA EDUCATIVA
24297|5|22042|ALGEBRA LINEAL
24297|5|21704|ALGEBRA SUPERIOR I
21135|4|22041|CALCULO MULTIVARIABLE
24297|5|22041|CALCULO MULTIVARIABLE
24297|5|21703|INTRODUCCION AL CALCULO
24297|5|22064|ANALISIS DE SUPERVIVENCIA
24297|5|22063|CALCULO ACTUARIAL PARA LOS SEGUROS NO VIDA
24297|5|22051|CALCULO ACTUARIAL PARA EL SEGURO DE VIDA I
24297|5|21700|CONTABILIDAD FINANCIERA
21134|3|20008|ENTORNOS VIRTUALES DE APRENDIZAJE
21135|4|20008|ENTORNOS VIRTUALES DE APRENDIZAJE
7221|2|10676|TALLER DE SERVICIO SOCIAL
