Matricula|ClavePlan|VersionPlan|ClaveAsignatura|ClaveProfesor|ClaveGrupo|Grupo
94001134|62482|1|30638|89804|880|A
09000958|62482|1|30643|89862|880|A
09000958|62482|1|30643|89838|880|A
98003062|62482|1|30643|95420|881|B
14016354|62482|1|30644|89761|880|A
08206732|62482|1|30645|89862|880|A
09000942|62482|1|30645|89761|881|B
93001600|62482|1|30647|89849|880|A
06200435|62482|1|30647|89799|881|B
02200360|62482|1|30647|89825|882|C
02200360|62482|1|30647|95420|882|C
07003231|62482|1|30648|89862|880|A
07003231|62482|1|30648|89763|880|A
87000478|18318|1|18845|89760|1854|EE
10216325|18318|1|18845|89760|1854|EE
12008093|18318|1|18845|89760|1854|EE
10216401|18318|1|18845|89760|1854|EE
15216378|18318|1|18845|89760|1854|EE
20216253|18318|1|18845|89760|1854|EE
10216323|18318|1|18845|89760|1854|EE
20216251|18318|1|18845|89760|1854|EE
20216253|18318|1|18843|89830|1854|EE
99003055|18318|1|18843|89830|1854|EE
08003244|18318|1|18843|89830|1854|EE
12008093|18318|1|18843|89830|1854|EE
15216378|18318|1|18843|89830|1854|EE
15216378|18318|1|18844|181968|1854|EE
12008093|18318|1|18844|181968|1854|EE
08003244|18318|1|18844|181968|1854|EE
15216378|18318|1|19071|89816|1851|OPT-EE
10216323|18318|1|19071|89816|1851|OPT-EE
12008093|18318|1|19071|89816|1851|OPT-EE
87000478|18318|1|35589|128086|1851|OPT-EE
10216325|18318|1|35589|128086|1851|OPT-EE
10216323|18318|1|35589|128086|1851|OPT-EE
20216251|18318|1|35589|128086|1851|OPT-EE
08003244|18318|1|35589|128086|1851|OPT-EE
10216401|18318|1|35589|128086|1851|OPT-EE
20216253|18318|1|35589|128086|1851|OPT-EE
21216410|18317|1|18853|89866|1786|MCC
21216411|18317|1|18853|89866|1786|MCC
21216412|18317|1|18853|89866|1786|MCC
12111444|18317|1|18853|89866|1786|MCC
12111444|18317|1|18855|89804|1856|MCC
88002728|18317|1|18855|89804|1856|MCC
20216412|18317|1|18855|89804|1856|MCC
21216412|18317|1|18855|89804|1856|MCC
21216411|18317|1|18855|89804|1856|MCC
21216410|18317|1|18855|89804|1856|MCC
21216411|18317|1|18854|89773|1786|MCC
12111444|18317|1|18854|89773|1786|MCC
21216410|18317|1|18854|89773|1786|MCC
21216412|18317|1|18854|89773|1786|MCC
21216411|18317|1|18856|89834|1786|MCC
21216410|18317|1|18856|89834|1786|MCC
21216412|18317|1|18856|89834|1786|MCC
12111444|18317|1|18856|89834|1786|MCC
88002728|18317|1|29996|89773|1853|OPT-MCC
12014880|18317|1|29996|89773|1853|OPT-MCC
20216412|18317|1|29996|89773|1853|OPT-MCC
20216413|18317|1|34508|89804|1853|OPT-MCC
11001499|18317|1|29993|128656|1853|OPT-MCC
12001601|18317|1|31717|95420|1853|OPT-MCC
12014880|18317|1|31717|95420|1853|OPT-MCC
20216413|18317|1|35590|89866|1853|OPT-MCC
20216413|18317|1|35590|131554|1853|OPT-MCC
20216412|18317|1|35590|89866|1853|OPT-MCC
20216412|18317|1|35590|131554|1853|OPT-MCC
11003982|18317|1|35590|89866|1853|OPT-MCC
11003982|18317|1|35590|131554|1853|OPT-MCC
15216773|18317|1|35591|180808|1853|OPT-MCC
15216773|18317|1|35592|89828|1786|MCC
11001499|18317|1|35593|151622|1786|MCC
88002728|18317|1|35593|151622|1786|MCC
11003982|18317|1|35594|157507|1853|OPT-MCC
20216413|18317|1|18858|131554|880|A
