ClavePlan|VersionPlan|ClaveAsignatura|ClaveProfesor|ClaveGrupo|Grupo|DiaSesion|HoraInicio|HoraFin|Edificio|Salon
18317|1|18853|89866|1786|MCC|Jueves|10:00|12:00|Edificio C|C1
18317|1|18853|89866|1786|MCC|Lunes|10:00|12:00|Edificio C|C1
18317|1|18854|89773|1786|MCC|Martes|08:00|10:00|Edificio C|C2
18317|1|18854|89773|1786|MCC|Viernes|08:00|10:00|Edificio C|C2
18317|1|18855|89804|1856|MCC|Martes|15:30|17:30|Edificio C|C1
18317|1|18855|89804|1856|MCC|Jueves|15:30|17:30|Edificio C|C1
18317|1|18856|89834|1786|MCC|Miércoles|15:30|17:30|Edificio D|D3
18317|1|18856|89834|1786|MCC|Viernes|15:30|17:30|Edificio D|D3
18317|1|18858|89804|888|G|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|89825|888|G|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|89825|1962|I|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|89828|1961|H|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|89834|882|C|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|89834|885|F|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|89866|880|A|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|95420|1962|I|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|121436|1961|H|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|128656|883|D|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|131554|880|A|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|151622|881|B|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|151622|883|D|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|18858|181805|881|B|Sábado|12:00|14:00|Edificio E|Cubículo
18317|1|29993|128656|1853|OPT-MCC|Martes|11:00|13:00|Edificio B|CC2
18317|1|29993|128656|1853|OPT-MCC|Jueves|11:00|13:00|Edificio B|CC2
18317|1|29996|89773|1853|OPT-MCC|Lunes|09:00|11:00|Edificio B|CC7
18317|1|29996|89773|1853|OPT-MCC|Jueves|09:00|11:00|Edificio B|CC7
18317|1|31717|95420|1853|OPT-MCC|Lunes|18:00|20:00|Edificio C|C1
18317|1|31717|95420|1853|OPT-MCC|Miércoles|18:00|20:00|Edificio C|C1
18317|1|34508|89804|1853|OPT-MCC|Lunes|17:00|19:00|Edificio LAB|Robotica
18317|1|34508|89804|1853|OPT-MCC|Miércoles|17:00|19:00|Edificio LAB|Robotica
18317|1|35590|89866|1853|OPT-MCC|Miércoles|11:00|13:00|Edificio B|CC7
18317|1|35590|89866|1853|OPT-MCC|Viernes|11:00|13:00|Edificio B|CC7
